"query"	"Description"	"Preferred_name"	"GOs"	"EC"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"BRITE"	"KEGG_TC"	"CAZy"	"BiGG_Reaction"	"PFAMs"
"CDS::101588_2:229483-229945(+)"	"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)"	"aroE"	"GO:0000166,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0032787,GO:0036094,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615"	"1.1.1.25"	"ko:K00014"	"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230"	"M00022"	"R02413"	"RC00206"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Shikimate_DH,Shikimate_dh_N"
"CDS::101588_2:243892-245239(+)"	"Heat shock 70 kDa protein"	"dnaK"	"GO:0001871,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0008150,GO:0009986,GO:0030246,GO:0030247,GO:0044464,GO:0051704,GO:0098630,GO:0098743,GO:2001065"	"-"	"ko:K04043"	"ko03018,ko04212,ko05152,map03018,map04212,map05152"	"-"	"-"	"-"	"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147"	"1.A.33.1"	"-"	"-"	"HSP70"
"CDS::101588_2:249608-250076(+)"	"Belongs to the bacterial ribosomal protein bS21 family"	"rpsU"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:1990904"	"-"	"ko:K02970"	"ko03010,map03010"	"M00178"	"-"	"-"	"br01610,ko00000,ko00001,ko00002,ko03011"	"-"	"-"	"-"	"Ribosomal_S21"
"CDS::101588_2:254520-255012(+)"	"This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis"	"cdd"	"-"	"3.5.4.5"	"ko:K01489"	"ko00240,ko00983,ko01100,map00240,map00983,map01100"	"-"	"R01878,R02485,R08221"	"RC00074,RC00514"	"ko00000,ko00001,ko01000"	"-"	"-"	"iSB619.SA_RS07895"	"dCMP_cyt_deam_1"
"CDS::101588_2:255022-255841(+)"	"An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism"	"era"	"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006275,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0010556,GO:0010558,GO:0010605,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019219,GO:0019222,GO:0030174,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032297,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0045934,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051302,GO:0051781,GO:0060255,GO:0065007,GO:0071944,GO:0080090,GO:0090329,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:2000104,GO:2000112,GO:2000113"	"-"	"ko:K03595"	"-"	"-"	"-"	"-"	"ko00000,ko03009,ko03029"	"-"	"-"	"-"	"KH_2,MMR_HSR1"
"CDS::101588_2:255901-257701(+)"	"Involved in DNA repair and RecF pathway recombination"	"recO"	"-"	"-"	"ko:K03584"	"ko03440,map03440"	"-"	"-"	"-"	"ko00000,ko00001,ko03400"	"-"	"-"	"-"	"RecO_C,RecO_N"
"CDS::101588_2:263427-264213(+)"	"tRNA (adenine(22)-N(1))-methyltransferase"	"trmK"	"GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016426,GO:0016429,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360"	"2.1.1.217"	"ko:K06967"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko03016"	"-"	"-"	"-"	"TrmK"
"CDS::101588_2:269607-271071(+)"	"Belongs to the Fur family"	"zur"	"-"	"-"	"ko:K02076,ko:K03711"	"-"	"-"	"-"	"-"	"ko00000,ko03000"	"-"	"-"	"-"	"FUR"
"CDS::101588_2:275990-276290(+)"	"glucokinase"	"glcK"	"GO:0003674,GO:0003824,GO:0004340,GO:0004396,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019200,GO:0019637,GO:0044237,GO:0044238,GO:0044262,GO:0044424,GO:0044464,GO:0046835,GO:0051156,GO:0071704,GO:1901135"	"2.7.1.2"	"ko:K00845"	"ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200"	"M00001,M00549"	"R00299,R01600,R01786"	"RC00002,RC00017"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS07790"	"ROK"
"CDS::101588_2:290371-290602(+)"	"Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase"	"efp"	"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576"	"-"	"ko:K02356"	"-"	"-"	"-"	"-"	"ko00000,ko03012"	"-"	"-"	"-"	"EFP,EFP_N,Elong-fact-P_C"
"CDS::101588_2:294191-295613(+)"	"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides"	"xseA"	"-"	"3.1.11.6"	"ko:K03601"	"ko03430,map03430"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03400"	"-"	"-"	"-"	"Exonuc_VII_L,tRNA_anti_2"
"CDS::101588_2:295628-296621(+)"	"Belongs to the FPP GGPP synthase family"	"ispA"	"GO:0003674,GO:0003824,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016740,GO:0016765,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044464,GO:0071704,GO:1901576"	"2.5.1.1,2.5.1.10,2.5.1.29"	"ko:K13789"	"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130"	"M00364,M00366"	"R01658,R02003,R02061"	"RC00279"	"ko00000,ko00001,ko00002,ko01000,ko01006"	"-"	"-"	"-"	"polyprenyl_synt"
"CDS::101588_2:299691-300672(+)"	"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"	"bfmBC"	"-"	"1.8.1.4"	"ko:K00382"	"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200"	"M00009,M00011,M00036,M00307,M00532"	"R00209,R01221,R01698,R03815,R07618,R08549"	"RC00004,RC00022,RC00583,RC02742,RC02833,RC02834"	"br01601,ko00000,ko00001,ko00002,ko01000,ko04147"	"-"	"-"	"-"	"Pyr_redox_2,Pyr_redox_dim"
"CDS::101588_2:304631-305651(+)"	"Putative aromatic acid exporter C-terminal domain"	"yqjA"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ArAE_1,ArAE_1_C"
"CDS::101588_2:316608-317115(-)"	"Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline"	"proC"	"-"	"1.5.1.2"	"ko:K00286"	"ko00330,ko01100,ko01110,ko01130,ko01230,map00330,map01100,map01110,map01130,map01230"	"M00015"	"R01248,R01251,R03291,R03293"	"RC00054,RC00083"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iYO844.BSU18480"	"F420_oxidored,P5CR_dimer"
"CDS::101588_2:326360-326975(+)"	"Histidine kinase"	"resE"	"-"	"2.7.13.3"	"ko:K07651"	"ko02020,map02020"	"M00458"	"-"	"-"	"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022"	"-"	"-"	"-"	"HAMP,HATPase_c,HisKA,PAS,PAS_4"
"CDS::101588_2:337348-337786(+)"	"Protein of unknown function (DUF2800)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:339178-339382(+)"	"DNA-directed DNA polymerase"	"-"	"-"	"2.7.7.7"	"ko:K02334"	"-"	"-"	"-"	"-"	"ko00000,ko01000"	"-"	"-"	"-"	"DNA_pol_A"
"CDS::101588_2:339800-340190(+)"	"DNA polymerase"	"polA_2"	"-"	"2.7.7.7"	"ko:K02334"	"-"	"-"	"-"	"-"	"ko00000,ko01000"	"-"	"-"	"-"	"DNA_pol_A"
"CDS::101588_2:340406-340607(+)"	"DNA polymerase"	"-"	"-"	"2.7.7.7"	"ko:K02334"	"-"	"-"	"-"	"-"	"ko00000,ko01000"	"-"	"-"	"-"	"DNA_pol_A"
"CDS::101588_2:340658-343106(+)"	"DNA polymerase family A"	"-"	"-"	"2.7.7.7"	"ko:K02334"	"-"	"-"	"-"	"-"	"ko00000,ko01000"	"-"	"-"	"-"	"DNA_pol_A"
"CDS::101588_2:343726-345085(+)"	"Protein of unknown function (DUF1024)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:345097-345535(+)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:350126-351290(+)"	"helicase activity"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:351358-351637(+)"	"HNH endonuclease"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:352809-353451(+)"	"Phage Terminase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:360819-361644(+)"	"tail protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Peptidase_M23,PhageMin_Tail,Sipho_tail"
"CDS::101588_2:361652-363236(+)"	"peptidoglycan catabolic process"	"-"	"GO:0008150,GO:0016032,GO:0019058,GO:0019068,GO:0044403,GO:0044419,GO:0051704,GO:0098003"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:365451-366918(+)"	"peptidoglycan catabolic process"	"-"	"GO:0008150,GO:0016032,GO:0019058,GO:0019068,GO:0044403,GO:0044419,GO:0051704,GO:0098003"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:379501-380956(+)"	"Pfam PF07901"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF1672"
"CDS::101588_2:386272-387583(+)"	"Lysin motif"	"ebpS"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"LysM"
"CDS::101588_2:390046-390772(+)"	"Belongs to the cytidylate kinase family. Type 1 subfamily"	"cmk"	"GO:0003674,GO:0003824,GO:0004127,GO:0004592,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006573,GO:0006575,GO:0006725,GO:0006732,GO:0006753,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009081,GO:0009108,GO:0009110,GO:0009117,GO:0009123,GO:0009165,GO:0009987,GO:0015939,GO:0015940,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019752,GO:0032787,GO:0033317,GO:0034641,GO:0034654,GO:0042364,GO:0042398,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046939,GO:0046940,GO:0050145,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605"	"2.7.4.25"	"ko:K00945"	"ko00240,ko01100,map00240,map01100"	"M00052"	"R00158,R00512,R01665"	"RC00002"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Cytidylate_kin"
"CDS::101588_2:397895-398471(+)"	"Belongs to the FPP GGPP synthase family"	"hepT"	"GO:0003674,GO:0003824,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009233,GO:0009234,GO:0009987,GO:0016740,GO:0016765,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0051186,GO:0051188,GO:0071704,GO:1901576,GO:1901661,GO:1901663"	"2.5.1.30,2.5.1.83"	"ko:K00805,ko:K21275"	"ko00900,ko01110,map00900,map01110"	"-"	"R09245,R09247"	"RC00279"	"ko00000,ko00001,ko01000,ko01006"	"-"	"-"	"-"	"polyprenyl_synt"
"CDS::101588_2:398460-399048(+)"	"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate"	"ndk"	"GO:0003674,GO:0003824,GO:0004550,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006163,GO:0006165,GO:0006220,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009132,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0019205,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046483,GO:0046939,GO:0055086,GO:0071704,GO:0072521,GO:0072527,GO:1901360,GO:1901564"	"2.7.4.6"	"ko:K00940"	"ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016"	"M00049,M00050,M00052,M00053"	"R00124,R00139,R00156,R00330,R00570,R00722,R01137,R01857,R02093,R02326,R02331,R03530,R11894,R11895"	"RC00002"	"ko00000,ko00001,ko00002,ko01000,ko04131"	"-"	"-"	"-"	"NDK"
"CDS::101588_2:409338-409998(+)"	"Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate"	"cca"	"-"	"2.7.7.72"	"ko:K00974"	"ko03013,map03013"	"-"	"R09382,R09383,R09384,R09386"	"RC00078"	"ko00000,ko00001,ko01000,ko03016"	"-"	"-"	"-"	"PolyA_pol,PolyA_pol_RNAbd,tRNA_NucTran2_2"
"CDS::101588_2:416121-417267(+)"	"DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate"	"nth"	"-"	"4.2.99.18"	"ko:K10773"	"ko03410,map03410"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03400"	"-"	"-"	"-"	"EndIII_4Fe-2S,HhH-GPD"
"CDS::101588_2:424347-425466(+)"	"Domain of unknown function (DUF4889)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF4889"
"CDS::101588_2:428110-429502(+)"	"Dynamin family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Dynamin_N"
"CDS::101588_2:472246-472756(+)"	"virulence factor"	"ypgR"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"HEAT_2,HEAT_PBS,Nfu_N,Virulence_fact"
"CDS::101588_2:473854-474469(+)"	"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis"	"thyA"	"-"	"2.1.1.45"	"ko:K00560"	"ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523"	"M00053"	"R02101"	"RC00219,RC00332"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Thymidylat_synt"
"CDS::101588_2:483057-483261(+)"	"response regulator ArlR"	"arlR"	"-"	"-"	"ko:K18941"	"ko02020,map02020"	"M00716,M00717"	"-"	"-"	"ko00000,ko00001,ko00002,ko02022"	"-"	"-"	"-"	"Response_reg,Trans_reg_C"
"CDS::101588_2:490500-490701(+)"	"Lactoylglutathione lyase"	"-"	"-"	"-"	"ko:K15975"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"Glyoxalase"
"CDS::101588_2:496528-497251(-)"	"5-bromo-4-chloroindolyl phosphate hydrolysis protein"	"xpaC"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Halogen_Hydrol"
"CDS::101588_2:510797-512612(-)"	"COG3666 Transposase and inactivated derivatives"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_2:516027-516729(+)"	"Phosphate transport system permease"	"pstA"	"-"	"-"	"ko:K02038"	"ko02010,map02010"	"M00222"	"-"	"-"	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.7"	"-"	"-"	"BPD_transp_1"
"CDS::101588_2:528463-529495(-)"	"Methicillin resistance"	"femA"	"-"	"2.3.2.17"	"ko:K11694"	"ko00550,ko01100,map00550,map01100"	"-"	"R08777"	"RC00055,RC00096"	"ko00000,ko00001,ko01000,ko01011"	"-"	"-"	"-"	"FemAB"
"CDS::101588_2:541806-544209(-)"	"Catalyzes the transfer of a lysyl group from L-lysyl- tRNA(Lys) to membrane-bound phosphatidylglycerol (PG), which produces lysylphosphatidylglycerol (LPG), a major component of the bacterial membrane with a positive net charge. LPG synthesis contributes to bacterial virulence as it is involved in the resistance mechanism against cationic antimicrobial peptides (CAMP) produces by the host's immune system (defensins, cathelicidins) and by the competing microorganisms"	"mprF"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"2.3.2.3"	"ko:K14205"	"ko01503,ko02020,ko05150,map01503,map02020,map05150"	"M00726"	"-"	"-"	"ko00000,ko00001,ko00002,ko01000,ko01504"	"2.A.1.3.37"	"-"	"iYO844.BG12900"	"DUF2156,LPG_synthase_TM"
"CDS::101588_2:547894-548362(-)"	"antiterminator"	"glcT"	"-"	"-"	"ko:K03480,ko:K03488"	"-"	"-"	"-"	"-"	"ko00000,ko03000"	"-"	"-"	"-"	"CAT_RBD,PRD"
"CDS::101588_2:552195-553842(-)"	"Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule"	"parE"	"GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360"	"-"	"ko:K02622"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko02048,ko03032,ko03036"	"-"	"-"	"-"	"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
"CDS::101588_2:558756-559224(-)"	"Catalyzes the isomerization of citrate to isocitrate via cis-aconitate"	"citB"	"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0003824,GO:0003994,GO:0005488,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017144,GO:0019541,GO:0019679,GO:0019752,GO:0032787,GO:0043436,GO:0043937,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0045333,GO:0046459,GO:0047456,GO:0048037,GO:0050789,GO:0050793,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0065007,GO:0071704,GO:0072350,GO:0097159,GO:1901363"	"4.2.1.3"	"ko:K01681"	"ko00020,ko00630,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230"	"M00009,M00010,M00012,M00173,M00740"	"R01324,R01325,R01900"	"RC00497,RC00498,RC00618"	"br01601,ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS06730"	"Aconitase,Aconitase_C"
"CDS::101588_2:563784-564648(-)"	"SbcCD cleaves DNA hairpin structures. These structures can inhibit DNA replication and are intermediates in certain DNA recombination reactions. The complex acts as a 3'- 5' double strand exonuclease that can open hairpins. It also has a 5' single-strand endonuclease activity (By similarity)"	"sbcC"	"-"	"-"	"ko:K03546"	"-"	"-"	"-"	"-"	"ko00000,ko03400"	"-"	"-"	"-"	"AAA_23,AAA_29,SbcCD_C"
"CDS::101588_2:600176-601673(-)"	"Glutamine synthetase"	"glnA"	"-"	"6.3.1.2"	"ko:K01915"	"ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727"	"-"	"R00253"	"RC00010,RC02798"	"ko00000,ko00001,ko01000,ko04147"	"-"	"-"	"-"	"Gln-synt_C,Gln-synt_N"
"CDS::101588_2:601801-602620(-)"	"Methionine gamma-lyase"	"ynbB"	"GO:0003674,GO:0003824,GO:0003962,GO:0004123,GO:0016740,GO:0016765,GO:0016829,GO:0016846"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Met_gamma_lyase"
"CDS::101588_2:608585-609077(-)"	"Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family"	"glpD"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0016020,GO:0044424,GO:0044464,GO:0071944"	"1.1.3.21,1.1.5.3"	"ko:K00105,ko:K00111"	"ko00564,ko01110,map00564,map01110"	"-"	"R00846,R00848"	"RC00029"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"DAO,DAO_C"
"CDS::101588_3:804-1401(-)"	"May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO"	"recR"	"-"	"-"	"ko:K06187"	"ko03440,map03440"	"-"	"-"	"-"	"ko00000,ko00001,ko03400"	"-"	"-"	"-"	"RecR,Toprim_4"
"CDS::101588_3:3580-4105(-)"	"(GNAT) family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Acetyltransf_1,Acetyltransf_9"
"CDS::101588_3:4745-5474(-)"	"trehalose operon transcriptional repressor"	"treR"	"-"	"-"	"ko:K03486"	"-"	"-"	"-"	"-"	"ko00000,ko03000"	"-"	"-"	"-"	"GntR,UTRA"
"CDS::101588_3:10944-15444(-)"	"Glutamate synthase"	"gltA"	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0015930,GO:0016053,GO:0016491,GO:0016638,GO:0019676,GO:0019740,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607"	"1.4.1.13,1.4.1.14,1.4.7.1"	"ko:K00265,ko:K00284"	"ko00250,ko00630,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00630,map00910,map01100,map01110,map01120,map01130,map01230"	"-"	"R00021,R00093,R00114,R00248,R10086"	"RC00006,RC00010,RC02799"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"GATase_2,GXGXG,Glu_syn_central,Glu_synthase"
"CDS::101588_3:18687-19173(-)"	"acetyltransferase GNAT family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Acetyltransf_1"
"CDS::101588_3:21500-22343(-)"	"Belongs to the nlpA lipoprotein family"	"metQ_3"	"-"	"-"	"ko:K02073"	"ko02010,map02010"	"M00238"	"-"	"-"	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.24"	"-"	"-"	"Lipoprotein_9"
